datum,titel_kurz_d,br_pos,annahme
1988-12-04,Initiative «zur Herabsetzung der Arbeitszeit»,0,0
1988-12-04,Initiative «für die Begrenzung der Einwanderung»,0,0
1989-06-04,Kleinbauern-Initiative,0,0
1989-11-26,Initiative für eine Schweiz ohne Armee,0,0
1989-11-26,Initiative «pro Tempo 130/100»,0,0
1990-04-01,Initiative «für eine Begrenzung des Strassenbaus»,0,0
1990-04-01,Initiative «für eine autobahnfreie Landschaft zwischen Murten und Yverdon»,0,0
1990-04-01,Initiative «für ein autobahnfreies Knonauer Amt»,0,0
1990-04-01,Initiative für eine freie Aarelandschaft zwischen Biel und Solothurn,0,0
1990-04-01,Rebbaubeschluss,1,0
1990-04-01,Gesetz über die Organisation der Bundesrechtspflege,1,0
1990-09-23,Initiative für einen Ausstieg aus der Atomenergie,0,0
1990-09-23,Initiative «Stopp dem Atomkraftwerkbau (Moratorium)»,0,1
1990-09-23,Energieartikel,1,1
1990-09-23,Strassenverkehrsgesetz,1,1
1991-03-03,Herabsetzung des Stimmrechtsalters auf 18 Jahre,1,1
1991-03-03,Initiative «zur Förderung des öffentlichen Verkehrs»,0,0
1991-06-02,Neuordnung der Bundesfinanzen (Einführung Mehrwertsteuer),1,0
1991-06-02,Militärstrafgesetz,1,1
1992-02-16,«Krankenkassen-Initiative»,0,0
1992-02-16,Initiative «Weg vom Tierversuch!»,0,0
1992-05-17,Beitritt zu den Institutionen von Bretton Woods,1,1
1992-05-17,Gesetz über die Mitwirkung an den Institutionen von Bretton Woods,1,1
1992-05-17,Gewässerschutzgesetz,1,1
1992-05-17,Gewässerschutz-Initiative,0,0
1992-05-17,Regelung der Fortpflanzungs- und Gentechnologie,1,1
1992-05-17,Einführung eines Zivildiensts,1,1
1992-05-17,Reform des Sexualstrafrechts,1,1
1992-09-27,Alpentransit-Beschluss (NEAT),1,1
1992-09-27,Geschäftsverkehrsgesetz,1,1
1992-09-27,Entschädigungsgesetz,1,0
1992-09-27,Infrastrukturgesetz,1,0
1992-09-27,Gesetz über die Stempelabgaben,1,1
1992-09-27,Gesetz über das bäuerliche Bodenrecht,1,1
1992-12-06,EWR-Beitritt,1,0
1993-03-07,Erhöhung des Treibstoffzolls,1,1
1993-03-07,Aufhebung des Spielbankenverbots,1,1
1993-03-07,Initiative «zur Abschaffung der Tierversuche»,0,0
1993-06-06,Initiative «40 Waffenplätze sind genug»,0,0
1993-06-06,Initiative «für eine Schweiz ohne neue Kampfflugzeuge»,0,0
1993-09-26,Bundesbeschluss gegen den Waffenmissbrauch,1,1
1993-09-26,Kantonswechsel des Laufentals zu Basel-Landschaft,1,1
1993-09-26,1.-August-Initiative,1,1
1993-09-26,Befristete Massnahmen in der Krankenversicherung,1,1
1993-09-26,Massnahmen in der Arbeitslosenversicherung,1,1
1993-11-28,Einführung der Mehrwertsteuer,1,1
1993-11-28,"Mehrwertsteuer-Satz 6,5%",1,1
1993-11-28,Mehrwertsteuerprozent für die AHV,1,1
1993-11-28,Bundesbeschluss über besondere Verbrauchssteuern,1,1
1993-11-28,Initiative «zur Verminderung der Alkoholprobleme»,0,0
1993-11-28,Initiative «zur Verminderung der Tabakprobleme»,0,0
1994-02-20,Weiterführung Autobahnvignette,1,1
1994-02-20,Weiterführung der Schwerverkehrsabgabe,1,1
1994-02-20,Einführung einer leistungsabhängigen Schwerverkehrsabgabe,1,1
1994-02-20,Alpen-Initiative,0,1
1994-02-20,Luftfahrtgesetz,1,1
1994-06-12,Kulturförderungsartikel,1,0
1994-06-12,Erleichterte Einbürgerung für junge Ausländer,1,0
1994-06-12,UNO-Blauhelme,1,0
1994-09-25,Aufhebung der Brotgetreideverbilligung,1,1
1994-09-25,Verbot der Rassendiskriminierung,1,1
1994-12-04,Krankenversicherungsgesetz,1,1
1994-12-04,Initiative «für eine gesunde Krankenversicherung»,0,0
1994-12-04,Zwangsmassnahmen im Ausländerrecht,1,1
1995-03-12,Landwirtschaftsartikel,1,0
1995-03-12,Milchwirtschaftsbeschluss,1,0
1995-03-12,Landwirtschaftsgesetz,1,0
1995-03-12,Ausgabenbremse,1,1
1995-06-25,10. AHV-Revision,1,1
1995-06-25,Initiative «zum Ausbau von AHV und IV»,0,0
1995-06-25,Gesetz über den Erwerb von Grundstücken durch Personen im Ausland,1,0
1996-03-10,Sprachenartikel,1,1
1996-03-10,Übertritt Vellerat zum Kanton Jura,1,1
1996-03-10,Zuständigkeit im Bereich der persönlichen militärischen Ausrüstung,1,0
1996-03-10,Aufhebung der Pflicht zur Übernahme von Brennapparaten und Branntwein,1,1
1996-03-10,Aufhebung der Beiträge an Bahnhofparkplätze,1,1
1996-06-09,Verfassungsartikel zur Landwirtschaft,1,1
1996-06-09,Regierungs- und Verwaltungsorganisationsgesetz,1,0
1996-12-01,Initiative «gegen die illegale Einwanderung»,0,0
1997-06-08,Initiative «EU-Beitrittsverhandlungen vors Volk!»,0,0
1997-06-08,Initiative «für ein Verbot der Kriegsmaterialausfuhr»,0,0
1997-06-08,Aufhebung des Pulverregals,1,1
1997-09-28,Finanzierung der Arbeitslosenversicherung,1,0
1997-09-28,Initiative «Jugend ohne Drogen»,0,0
1998-06-07,Haushaltsziel 2001,1,1
1998-06-07,«Gen-Schutz-Initiative»,0,0
1998-06-07,Initiative «S.o.S. - Schweiz ohne Schnüffelpolizei»,0,0
1998-09-27,Leistungsabhängige Schwerverkehrsabgabe (LSVA),1,1
1998-09-27,Kleinbauern-Initiative,0,0
1998-09-27,Initiative «für die 10. AHV-Revision ohne Erhöhung des Rentenalters»,0,0
1998-11-29,Finanzierung des öffentlichen Verkehrs (FinöV),1,1
1998-11-29,Getreideartikel,1,1
1998-11-29,Initiative «für eine vernünftige Drogenpolitik»,0,0
1998-11-29,Arbeitsgesetz,1,1
1999-02-07,Bundesbeschluss über die Wählbarkeit in den Bundesrat,1,1
1999-02-07,Verfassungsbestimmung über die Transplantationsmedizin,1,1
1999-02-07,Wohneigentums-Initiative,0,0
1999-02-07,Raumplanungsgesetz,1,1
1999-04-18,Neue Bundesverfassung,1,1
1999-06-13,Asylgesetz,1,1
1999-06-13,Massnahmen im Asyl- und Ausländerbereich,1,1
1999-06-13,Bundesbeschluss über die ärztliche Verschreibung von Heroin,1,1
1999-06-13,Gesetz über die Invalidenversicherung,1,0
1999-06-13,Gesetz über die Mutterschaftsversicherung,1,0
2000-03-12,Justizreform,1,1
2000-03-12,Initiative «für die Beschleunigung der direkten Demokratie»,0,0
2000-03-12,Initiative «für eine gerechte Vertretung der Frauen in den Bundesbehörden»,0,0
2000-03-12,Initiative «für menschenwürdige Fortpflanzung»,0,0
2000-03-12,«Verkehrshalbierungs-Initiative»,0,0
2000-05-21,Bilaterale Abkommen mit der EU,1,1
2000-09-24,Solarinitiative,0,0
2000-09-24,Förderabgabe für erneuerbare Energien,1,0
2000-09-24,Energielenkungsabgabe für die Umwelt,1,0
2000-09-24,Initiative «für eine Regelung der Zuwanderung»,0,0
2000-09-24,Initiative für ein konstruktives Referendum,0,0
2000-11-26,Initiative «für eine Flexibilisierung der AHV - gegen die Erhöhung des Rentenalters für Frauen»,0,0
2000-11-26,Initiative «für ein flexibles Rentenalter ab 62 für Frau und Mann»,0,0
2000-11-26,«Umverteilungsinitiative»,0,0
2000-11-26,Initiative «für tiefere Spitalkosten»,0,0
2000-11-26,Bundespersonalgesetz,1,1
2001-03-04,Initiative «Ja zu Europa!»,0,0
2001-03-04,Initiative «für tiefere Arzneimittelpreise»,0,0
2001-03-04,Initiative «Strassen für alle» (Tempo 30),0,0
2001-06-10,Militärgesetz: Bewaffnung,1,1
2001-06-10,Militärgesetz: Ausbildungszusammenarbeit,1,1
2001-06-10,Aufhebung des Bistumsartikels,1,1
2001-12-02,Schuldenbremse,1,1
2001-12-02,Initiative «Energie statt Arbeit besteuern»,0,0
2001-12-02,Initiative für eine Schweiz ohne Armee,0,0
2001-12-02,Initiative «Für einen freiwilligen zivilen Friedensdienst»,0,0
