datum,titel_kurz_d,p_svp,annahme
1973-12-02 07:00:00,Tierschutzartikel ,1,1
1974-10-20 08:00:00,Initiative «Gegen die Überfremdung»,0,0
1974-12-08 09:00:00,Verbesserung des Bundeshaushalts,1,0
1974-12-08 10:00:00,Erschwerung von Ausgabenbeschlüssen,1,1
1974-12-08 11:00:00,Initiative «für eine soziale Krankenversicherung»,0,0
1975-03-02 13:00:00,Konjunkturartikel,1,0
1975-06-08 14:00:00,Bundesbeschluss über den Schutz der Währung,1,1
1975-06-08 15:00:00,Bundesbeschluss über die Finanzierung der Nationalstrassen,1,1
1975-06-08 16:00:00,Änderung des Generalzolltarifs,1,0
1975-06-08 17:00:00,Bundesbeschluss zur Erhöhung der Steuereinnahmen,1,1
1975-06-08 18:00:00,Erschwerung von Ausgabenbeschlüssen,1,1
1975-12-07 19:00:00,Reform der Niederlassungsfreiheit und Unterstützungsregelung,1,1
1975-12-07 20:00:00,Verfassungsbestimmungen zur Wasserwirtschaft,1,1
1975-12-07 21:00:00,Gesetz über die Ein- und Ausfuhr von Landwirtschaftserzeugnissen,1,1
1976-03-21 22:00:00,Initiative «für die Mitbestimmung der Arbeitnehmer»,0,0
1976-03-21 00:00:00,Initiative «für eine Reform des Steuerwesens»,0,0
1976-06-13 01:00:00,Raumplanungsgesetz,1,0
1976-06-13 02:00:00,Darlehen an die Internationale Entwicklungsorganisation,1,0
1976-06-13 03:00:00,Neukonzeption der Arbeitslosenversicherung,1,1
1976-09-26 04:00:00,Radio- und Fernsehartikel,1,0
1976-09-26 05:00:00,Initiative für eine Haftpflichtversicherung für Motorfahrzeuge und Fahrräder,0,0
1976-12-05 06:00:00,Bundesbeschluss über die Geld- und Kreditpolitik,1,1
1976-12-05 07:00:00,Bundesbeschluss über die Preisüberwachung,1,1
1976-12-05 08:00:00,Initiative «für die Einführung der 40-Stunden-Woche»,0,0
1977-03-13 09:00:00,Vierte «Überfremdungsinitiative»,0,0
1977-03-13 10:00:00,Initiative «für eine Beschränkung der Einbürgerungen»,0,0
1977-03-13 11:00:00,Initiative zur Neuordnung des Staatsvertragsreferendums,0,0
1977-06-12 13:00:00,Neuordnung der Umsatzsteuer und der direkten Bundessteuer,1,0
1977-06-12 14:00:00,Bundesbeschluss über die Steuerharmonisierung,1,1
1977-09-25 15:00:00,Mieterschutzinitiative,0,0
1977-09-25 17:00:00,Initiative «gegen die Luftverschmutzung durch Motorfahrzeuge»,0,0
